# Chunk-averaged data for fix 14 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
0 49 1728
  33 26.3888 16 0.0406734
  34 27.2588 56 0.142357
  35 28.1288 8 0.0203367
  36 28.9988 63 0.160152
  37 29.8688 2 0.00508418
  38 30.7388 65 0.165236
  39 31.6088 6 0.0152525
  40 32.4788 51 0.129647
  41 33.3488 21 0.0533839
  42 34.2188 27 0.0686364
  43 35.0888 45 0.114394
  44 35.9588 12 0.0305051
  45 36.8288 60 0.152525
  46 37.6988 3 0.00762627
  47 38.5688 66 0.167778
  48 39.4388 4 0.0101684
  49 40.3088 53 0.134731
  50 41.1788 18 0.0457576
  51 42.0488 36 0.0915152
  52 42.9188 36 0.0915152
  53 43.7888 11 0.027963
  54 44.6588 18 0.0457576
90000 54 1728
  1 -1.5987 35 0.0889731
  2 -0.728698 13 0.0330472
  3 0.141302 58 0.147441
  4 1.0113 4 0.0101684
  5 1.8813 67 0.17032
  6 2.7513 3 0.00762627
  7 3.6213 57 0.144899
  8 4.4913 14 0.0355893
  9 5.3613 45 0.114394
  10 6.2313 27 0.0686364
  11 7.1013 30 0.0762627
  12 7.9713 42 0.106768
  13 8.8413 4 0.0101684
  14 9.7113 65 0.165236
  15 10.5813 4 0.0101684
  16 11.4513 63 0.160152
  17 12.3213 9 0.0228788
  18 13.1913 49 0.124562
  19 14.0613 22 0.055926
  20 14.9313 30 0.0762627
  21 15.8013 42 0.106768
  22 16.6713 15 0.0381313
  23 17.5413 57 0.144899
  24 18.4113 2 0.00508418
  25 19.2813 64 0.162694
  26 20.1513 6 0.0152525
  27 21.0213 56 0.142357
  28 21.8913 16 0.0406734
  29 22.7613 37 0.0940573
  30 23.6313 35 0.0889731
  31 24.5013 16 0.0406734
  32 25.3713 56 0.142357
  33 26.2413 6 0.0152525
  34 27.1113 63 0.160152
  35 27.9813 4 0.0101684
  36 28.8513 64 0.162694
  37 29.7213 6 0.0152525
  38 30.5913 47 0.119478
  39 31.4613 26 0.0660943
  40 32.3313 21 0.0533839
  41 33.2013 50 0.127104
  42 34.0713 8 0.0203367
  43 34.9413 65 0.165236
  44 35.8113 1 0.00254209
  45 36.6813 62 0.15761
  46 37.5513 9 0.0228788
  47 38.4213 52 0.132189
  48 39.2913 20 0.0508418
  49 40.1613 19 0.0482997
  50 41.0313 53 0.134731
  51 41.9013 3 0.00762627
  52 42.7713 69 0.175404
  53 43.6413 1 0.00254209
  54 44.5113 36 0.0915152
100000 54 1728
  1 -1.46414 29 0.0737206
  2 -0.594141 20 0.0508418
  3 0.275859 52 0.132189
  4 1.14586 8 0.0203367
  5 2.01586 63 0.160152
  6 2.88586 2 0.00508418
  7 3.75586 64 0.162694
